0,1,2,3,4,5
Yearly Report for Client: LINCOLN/AFPCOLOR [prod] 2022-06-10T01:30:08 PDT                                      Period: 2019-2022 ,,,,,
Y,2021,142,129223,909946,20001487973
Y,2022,73,65448,455080,9122667803
Monthly Report for Client: LINCOLN/AFPCOLOR [prod] 2022-06-10T01:30:08 PDT                                     Period: 2019-2022 ,,,,,
M,2019-04,30,29034,464250,4600662439
M,2019-05,8,6068,92784,1397714388
M,2019-06,12,12000,68986,1444072556
M,2019-07,21,14291,102212,2202677771
M,2019-10,30,27119,181272,3756690221
Yearly Report for Client: QUESTDIAG/QUESTPATH [prod] 2022-06-10T01:59:37 PDT                                   Period: 2019-2022 ,,,,,
Y,2019,132,48597,106016,607348628
Y,2020,158,58206,127368,726387110
Y,2021,156,57574,126192,714016226
Y,2022,66,24974,54508,314292685
Monthly Report for Client: QUESTDIAG/QUESTPATH [prod] 2022-06-10T01:59:37 PDT                                  Period: 2019-2022 
M,2019-02,2,600,1376,7685571
M,2019-03,12,4417,9708,55440103
M,2019-04,13,4922,10822,61584516
M,2019-05,14,5015,10970,62929857
M,2019-06,12,4415,9596,55215660
M,2019-07,14,5413,11828,67601229
M,2019-08,13,4518,9792,56336070
M,2019-09,12,4410,9602,55009052
M,2019-10,15,5534,11984,68863621
M,2019-11,12,4425,9616,55255226
M,2019-12,13,4928,10722,61427723
Yearly Report for Client: QUESTDIAG/QUESTRUBICON [prod] 2022-06-10T01:59:41 PDT                                     Period: 2019 
Y,2019,406,103840,354476,2122607661
Monthly Report for Client: QUESTDIAG/QUESTRUBICON [prod] 2022-06-10T01:59:41 PDT                                    Period: 2019 
M,2019-02,1,513,1100,8955529
M,2019-03,44,11030,36928,224071071
M,2019-04,40,10909,36740,221704077
M,2019-05,42,10932,38078,225475330
M,2019-06,43,11311,38424,230563099
M,2019-07,42,11082,37176,224685510
M,2019-08,42,11093,36236,222498275
M,2019-09,39,9573,32932,196223941
M,2019-10,41,10257,34212,207539361
M,2019-11,38,8522,29208,173548105
M,2019-12,34,8618,33442,187343363
